Platz,Pl.AK,Name,Startnr.,Verein/Team,AK,Finish,Year,Finish_Minutes
2641,336,"Wende, Robin (GER)",6442,–,<30,1900-01-01 03:55:47,2022,235.78333333333333
2642,454,"Boldt, Mathias (GER)",6310,Strandläufer,40-44,1900-01-01 03:55:48,2022,235.8
2643,343,"Führling, Stefan (GER)",6444,–,50-54,1900-01-01 03:55:48,2022,235.8
2644,377,"Hüneburg, Niels (GER)",11194,–,30-34,1900-01-01 03:55:48,2022,235.8
2645,381,"Mosel, Tom (GER)",8365,–,45-49,1900-01-01 03:55:49,2022,235.81666666666666
2646,205,"Schroth, Olaf (GER)",10249,ReunionRunners,55-59,1900-01-01 03:55:49,2022,235.81666666666666
2647,382,"Lochman, Jan (CZE)",4392,SRC Prague Pirates,45-49,1900-01-01 03:55:50,2022,235.83333333333334
2648,455,"Klatt, Marcus (GER)",10293,SV Sülfeld,40-44,1900-01-01 03:55:50,2022,235.83333333333334
2649,378,"Stennes, Matthias (GER)",11288,–,30-34,1900-01-01 03:55:51,2022,235.85
2650,383,"Chudleigh, Paul (GBR)",11160,–,45-49,1900-01-01 03:55:52,2022,235.86666666666667
2651,456,"Schute, Stefan (GER)",10527,–,40-44,1900-01-01 03:55:52,2022,235.86666666666667
2652,86,"Skov, Jens Ole (DEN)",6064,–,60-64,1900-01-01 03:55:53,2022,235.88333333333333
2653,337,"Jaura, Sebastian (GER)",7365,–,<30,1900-01-01 03:55:53,2022,235.88333333333333
2654,344,"Dr. Bergmann, Martin (GER)",8289,Triathlon Team Hamburg e.V.,50-54,1900-01-01 03:55:53,2022,235.88333333333333
2655,206,"Sørensen, John (DEN)",10148,Kjellerup løbeklub,55-59,1900-01-01 03:55:55,2022,235.91666666666666
2656,345,"Weidenhagen, Matthias (GER)",13269,MTV 1846 Gießen,50-54,1900-01-01 03:55:56,2022,235.93333333333334
2657,379,"Castorf, Sebastian (GER)",7450,–,30-34,1900-01-01 03:55:57,2022,235.95
2658,428,"Lanzinger, Dominik (AUT)",9490,Schlotterer Sonnenschutz Systeme GmbH,35-39,1900-01-01 03:55:58,2022,235.96666666666667
2659,429,"Bubbich, Carsten (GER)",7322,–,35-39,1900-01-01 03:55:59,2022,235.98333333333332
2660,380,"Ruhe, Christian (GER)",10540,–,30-34,1900-01-01 03:55:59,2022,235.98333333333332
2661,87,"Andersen, Flemming (DEN)",6308,Sparta,60-64,1900-01-01 03:56:01,2022,236.01666666666668
2662,381,"Rabener, Nils (GER)",15608,–,30-34,1900-01-01 03:56:01,2022,236.01666666666668
2663,382,"Böhnisch, Sven (GER)",6387,–,30-34,1900-01-01 03:56:03,2022,236.05
2664,384,"Pauer, Roman (GER)",7107,LG Buggingen Seefelden,45-49,1900-01-01 03:56:05,2022,236.08333333333334
2665,207,"Blässe, Detlef (GER)",10261,RWO Endurance Team,55-59,1900-01-01 03:56:05,2022,236.08333333333334
2666,346,"Tuitjer, Jörg (GER)",9301,ISV Emden,50-54,1900-01-01 03:56:06,2022,236.1
2667,385,"Müller, Stefan (GER)",11159,–,45-49,1900-01-01 03:56:06,2022,236.1
2668,347,"Schwiers, Thomas (GER)",13024,BSG Jungheinrich,50-54,1900-01-01 03:56:10,2022,236.16666666666666
2669,457,"Weißenburger, André (GER)",8460,–,40-44,1900-01-01 03:56:11,2022,236.18333333333334
2670,458,"Hattendorff, Philipp (GER)",12011,–,40-44,1900-01-01 03:56:11,2022,236.18333333333334
2671,459,"Dr. Mieske, Karl (GER)",7472,–,40-44,1900-01-01 03:56:14,2022,236.23333333333332
2672,348,"Sommerfeld, Jürgen (GER)",8393,–,50-54,1900-01-01 03:56:14,2022,236.23333333333332
2673,208,"Harder, Thorsten (GER)",9124,–,55-59,1900-01-01 03:56:15,2022,236.25
2674,209,"Sieg, Wolfgang (GER)",9199,–,55-59,1900-01-01 03:56:16,2022,236.26666666666668
2675,430,"Norden, Mark (GER)",8205,BSG Schleswig-Holstein Netz,35-39,1900-01-01 03:56:17,2022,236.28333333333333
2676,386,"Arkenau, Caspar-Sebastian (GER)",6221,Arkenau,45-49,1900-01-01 03:56:17,2022,236.28333333333333
2677,349,"Albers, Bert (GER)",7359,–,50-54,1900-01-01 03:56:17,2022,236.28333333333333
2678,460,"Dr. Pekron, Volker (GER)",6445,–,40-44,1900-01-01 03:56:17,2022,236.28333333333333
2679,338,"Sieg, Robert (GER)",11324,–,<30,1900-01-01 03:56:19,2022,236.31666666666666
2680,350,"Schaake-Scholl, Ilja Che (GER)",12258,EDEKA MV,50-54,1900-01-01 03:56:19,2022,236.31666666666666
2681,431,"Wohlgemuth, Veit (GER)",10484,–,35-39,1900-01-01 03:56:20,2022,236.33333333333334
2682,351,"Lange, Sven (GER)",9093,–,50-54,1900-01-01 03:56:20,2022,236.33333333333334
2683,387,"Hansen, Marc (GER)",4395,Team Erdinger Alkoholfrei,45-49,1900-01-01 03:56:20,2022,236.33333333333334
2684,383,"Tesch, Dieter (GER)",12060,–,30-34,1900-01-01 03:56:22,2022,236.36666666666667
2685,339,"Stegemann, Max (GER)",7394,–,<30,1900-01-01 03:56:22,2022,236.36666666666667
2686,340,"Benesch, Paul (GER)",5280,–,<30,1900-01-01 03:56:23,2022,236.38333333333333
2687,388,"Troscianczyk, Piotr (POL)",10468,–,45-49,1900-01-01 03:56:23,2022,236.38333333333333
2688,210,"Dr. Haughuus, Jan (DEN)",1527,Team Die Schwäger,55-59,1900-01-01 03:56:26,2022,236.43333333333334
2689,341,"Reinke, Lukas (GER)",15163,Team Tequila POP,<30,1900-01-01 03:56:26,2022,236.43333333333334
2690,384,"Bauer, Benjamin (GER)",4056,–,30-34,1900-01-01 03:56:27,2022,236.45
2691,342,"Möller, Marius (GER)",10325,Team Helmwald,<30,1900-01-01 03:56:28,2022,236.46666666666667
2692,352,"Kayser, Martin (GER)",6314,SZ Kornwestheim Triathlon,50-54,1900-01-01 03:56:29,2022,236.48333333333332
2693,385,"Voß, Christian (GER)",6330,–,30-34,1900-01-01 03:56:31,2022,236.51666666666668
2694,386,"Höniger, Hannes (GER)",12164,–,30-34,1900-01-01 03:56:31,2022,236.51666666666668
2695,343,"Thomsen, Alex (GER)",15421,–,<30,1900-01-01 03:56:32,2022,236.53333333333333
2696,432,"Bienge, Hauke (GER)",9504,TSV Otterndorf,35-39,1900-01-01 03:56:33,2022,236.55
2697,461,"Jessrang, Mathias (GER)",15031,–,40-44,1900-01-01 03:56:34,2022,236.56666666666666
2698,88,"Disselkamp, Thomas (GER)",11197,–,60-64,1900-01-01 03:56:34,2022,236.56666666666666
2699,462,"Beyer, Mario (GER)",15346,Pankelauf,40-44,1900-01-01 03:56:36,2022,236.6
2700,463,"Larsen, Axel (GER)",3401,–,40-44,1900-01-01 03:56:36,2022,236.6
2701,387,"Harbs, Johannes (GER)",9105,–,30-34,1900-01-01 03:56:37,2022,236.61666666666667
2702,353,"Mühlberger, Achim (GER)",6435,–,50-54,1900-01-01 03:56:37,2022,236.61666666666667
2703,354,"Mühlberger, Rainer (GER)",3333,–,50-54,1900-01-01 03:56:38,2022,236.63333333333333
2704,388,"Gruhn, Andreas (GER)",6269,Holzpfosten Schwerte 05,30-34,1900-01-01 03:56:40,2022,236.66666666666666
2705,355,"Heinzerling, Marc (GER)",7260,TSV Baumbach,50-54,1900-01-01 03:56:43,2022,236.71666666666667
2706,464,"Wagner, Michael (GER)",8506,SG Schwalmtal,40-44,1900-01-01 03:56:43,2022,236.71666666666667
2707,344,"Nagel, Luca (GER)",11265,–,<30,1900-01-01 03:56:45,2022,236.75
2708,465,"Petsch, Björn (GER)",6077,–,40-44,1900-01-01 03:56:45,2022,236.75
2709,211,"Pisarski, Uwe (GER)",6450,RW-Mastholte,55-59,1900-01-01 03:56:47,2022,236.78333333333333
2710,389,"Kohlbacher, Heiko (GER)",9032,LSF Oldenburg,45-49,1900-01-01 03:56:48,2022,236.8
2711,389,"Kleine-Bley, Kevin (GER)",2098,–,30-34,1900-01-01 03:56:49,2022,236.81666666666666
2712,212,"Lietzau, Marco (GER)",14195,–,55-59,1900-01-01 03:56:49,2022,236.81666666666666
2713,466,"Tode, Robert (GER)",9313,LG Alsternord,40-44,1900-01-01 03:56:50,2022,236.83333333333334
2714,433,"Vorberg, Christian (GER)",9505,TV Hasslinghausen,35-39,1900-01-01 03:56:50,2022,236.83333333333334
2715,467,"Rüttinger, Michael (GER)",5153,TSV Burghaslach,40-44,1900-01-01 03:56:51,2022,236.85
2716,356,"Bockbreder, Frank (GER)",9375,–,50-54,1900-01-01 03:56:51,2022,236.85
2717,434,"Brandt, Morten (DEN)",8377,–,35-39,1900-01-01 03:56:51,2022,236.85
2718,357,"Scherz, Jörg (GER)",12118,–,50-54,1900-01-01 03:56:52,2022,236.86666666666667
2719,435,"Prof. Lütkefent, Nils (GER)",5093,SSF Bonn,35-39,1900-01-01 03:56:52,2022,236.86666666666667
2720,358,"Pedersen, Michael (DEN)",11416,–,50-54,1900-01-01 03:56:53,2022,236.88333333333333
2721,345,"Bahnsen, Felix (GER)",5211,–,<30,1900-01-01 03:56:53,2022,236.88333333333333
2722,436,"Awiszus, Nils (GER)",4516,HNT Hamburg,35-39,1900-01-01 03:56:54,2022,236.9
2723,213,"Eggert, Björn (GER)",7536,–,55-59,1900-01-01 03:56:56,2022,236.93333333333334
2724,214,"Müller, Werner (GER)",8501,Team Haspa,55-59,1900-01-01 03:56:57,2022,236.95
2725,437,"Störbeck, Christopher (GER)",10008,#comebackstronger,35-39,1900-01-01 03:56:58,2022,236.96666666666667
2726,359,"Eikwinkel, Martin (GER)",7176,Runcademy Dortmund,50-54,1900-01-01 03:56:58,2022,236.96666666666667
2727,468,"Marx, Andre (GER)",11333,–,40-44,1900-01-01 03:57:00,2022,237.0
2728,390,"Tuchen, Mark (GER)",7294,Zieh durch e.V.,45-49,1900-01-01 03:57:02,2022,237.03333333333333
2729,346,"Spiegel, Nikolas (GER)",9396,–,<30,1900-01-01 03:57:05,2022,237.08333333333334
2730,215,"Spiegel, Alexander (GER)",8291,TSG Glauchau,55-59,1900-01-01 03:57:05,2022,237.08333333333334
2731,347,"Knerr, Jonas (GER)",5085,SifF Hamburg e.V.,<30,1900-01-01 03:57:05,2022,237.08333333333334
2732,18,"Richter, Uwe (GER)",8035,–,65-69,1900-01-01 03:57:05,2022,237.08333333333334
2733,390,"Meinker, Fabian (GER)",15367,–,30-34,1900-01-01 03:57:05,2022,237.08333333333334
2734,360,"Graage, Jörg (GER)",2521,SV Enge-Sande,50-54,1900-01-01 03:57:06,2022,237.1
2735,391,"Schopf, Michael (GER)",7343,–,45-49,1900-01-01 03:57:08,2022,237.13333333333333
2736,469,"Wittig, Thomas (GER)",15350,–,40-44,1900-01-01 03:57:08,2022,237.13333333333333
2737,438,"Dr. Jansen, Philipp (GER)",8463,–,35-39,1900-01-01 03:57:09,2022,237.15
2738,439,"Nessler, Andreas (GER)",11500,–,35-39,1900-01-01 03:57:10,2022,237.16666666666666
2739,361,"Hauschildt, Ralf (GER)",5533,–,50-54,1900-01-01 03:57:12,2022,237.2
2740,216,"Borchert, Kai (GER)",4264,Lübeck,55-59,1900-01-01 03:57:12,2022,237.2
2741,391,"Westphalen, Jan (GER)",11321,–,30-34,1900-01-01 03:57:13,2022,237.21666666666667
2742,470,"Wenk, Michael (GER)",7048,VFB Oberweimar,40-44,1900-01-01 03:57:14,2022,237.23333333333332
2743,471,"Dreischulte, Jörg (GER)",7282,TV Roetgen,40-44,1900-01-01 03:57:16,2022,237.26666666666668
2744,217,"Jacobi, Jörg (GER)",9328,SG Edelzell,55-59,1900-01-01 03:57:17,2022,237.28333333333333
2745,472,"Krüger, Stefan (GER)",11279,–,40-44,1900-01-01 03:57:18,2022,237.3
2746,473,"Hartwig, Alexander (GER)",8021,–,40-44,1900-01-01 03:57:19,2022,237.31666666666666
2747,440,"Gerard-Knight, Erwan (FRA)",8430,–,35-39,1900-01-01 03:57:21,2022,237.35
2748,392,"Kruse, Artem (GER)",11127,–,30-34,1900-01-01 03:57:22,2022,237.36666666666667
2749,218,"Bessler, Jan (GER)",6200,–,55-59,1900-01-01 03:57:23,2022,237.38333333333333
2750,362,"Kock, Oliver (GER)",3237,Team Laufrausch e.V,50-54,1900-01-01 03:57:25,2022,237.41666666666666
2751,219,"Förster, Torsten (GER)",7485,–,55-59,1900-01-01 03:57:26,2022,237.43333333333334
2752,392,"Sturm, Thomas (GER)",12334,SV Geroldshausen Lauftreff,45-49,1900-01-01 03:57:28,2022,237.46666666666667
2753,363,"Rossen, Niels (DEN)",8253,"NBSIF løber, Kolding",50-54,1900-01-01 03:57:28,2022,237.46666666666667
2754,89,"Dr. Andersson, Sven (SWE)",4519,IK Akele,60-64,1900-01-01 03:57:28,2022,237.46666666666667
2755,474,"Romaios, Petros (GRE)",14368,PoFi - Podilatovoltes Filon,40-44,1900-01-01 03:57:30,2022,237.5
2756,441,"Eufinger, Jan (GER)",4189,–,35-39,1900-01-01 03:57:31,2022,237.51666666666668
2757,475,"Herrmann, Christian (GER)",6317,Team Haspa,40-44,1900-01-01 03:57:31,2022,237.51666666666668
2758,393,"Tondorf, Björn (GER)",9303,KG Erler Funken,45-49,1900-01-01 03:57:33,2022,237.55
2759,348,"Klingelhöller, Moritz (GER)",11252,–,<30,1900-01-01 03:57:35,2022,237.58333333333334
2760,364,"Gaus-De La Torre, Martin (GER)",9195,–,50-54,1900-01-01 03:57:37,2022,237.61666666666667
2761,393,"Runge, Daniel (GER)",11207,–,30-34,1900-01-01 03:57:37,2022,237.61666666666667
2762,442,"Dr. Valencia, Alejandro (COL)",4437,ASICS FrontRunner,35-39,1900-01-01 03:57:38,2022,237.63333333333333
2763,220,"Siebentritt, Wilhelm (GER)",10401,Zatopek Eitorf,55-59,1900-01-01 03:57:41,2022,237.68333333333334
2764,221,"Warlich, Jens (GER)",8085,–,55-59,1900-01-01 03:57:41,2022,237.68333333333334
2765,349,"Westphal, Oliver (GER)",7442,–,<30,1900-01-01 03:57:42,2022,237.7
2766,476,"Hutzler, Tobias (GER)",11191,–,40-44,1900-01-01 03:57:43,2022,237.71666666666667
2767,443,"Wolff, Andreas (GER)",11074,–,35-39,1900-01-01 03:57:43,2022,237.71666666666667
2768,394,"Eierle, Tobias (GER)",8388,–,30-34,1900-01-01 03:57:44,2022,237.73333333333332
2769,222,"Gerlich, Michael (GER)",8161,TVU-LT-Uelzen,55-59,1900-01-01 03:57:46,2022,237.76666666666668
2770,444,"Linke, Michael (GER)",7134,LVM Running Team Sebastian Ruch,35-39,1900-01-01 03:57:47,2022,237.78333333333333
2771,394,"Kalz, Christoph (GER)",4310,–,45-49,1900-01-01 03:57:48,2022,237.8
2772,350,"Ellermeier, Ole (GER)",7140,Motivierte Atzen,<30,1900-01-01 03:57:50,2022,237.83333333333334
2773,395,"Wolfsberger, Arthur (AUT)",6342,–,45-49,1900-01-01 03:57:51,2022,237.85
2774,365,"Nygaard-Pedersen, Jan (DEN)",10260,Running Wild,50-54,1900-01-01 03:57:52,2022,237.86666666666667
2775,396,"Steverding, Ingo (GER)",8279,Team Beginner Trail,45-49,1900-01-01 03:57:52,2022,237.86666666666667
2776,223,"Haudenschild, Daniel (SUI)",11138,–,55-59,1900-01-01 03:57:56,2022,237.93333333333334
2777,445,"Müller, Karsten (GER)",8221,Gut Hohen Luckow,35-39,1900-01-01 03:57:56,2022,237.93333333333334
2778,477,"Nitzsche, Kai (GER)",5176,VARO Runners,40-44,1900-01-01 03:57:57,2022,237.95
2779,395,"Hustädte, Marvin (GER)",7350,–,30-34,1900-01-01 03:57:57,2022,237.95
2780,366,"Prof. Dr. Kühne, Christian (GER)",11007,–,50-54,1900-01-01 03:57:57,2022,237.95
2781,446,"Von Thun, Christopher (GER)",7420,–,35-39,1900-01-01 03:57:59,2022,237.98333333333332
2782,224,"Wichmann, Manfred (GER)",9209,Die Mühlenblicker,55-59,1900-01-01 03:57:59,2022,237.98333333333332
2783,225,"Dr. Laursen, Torben (DEN)",12152,RunningWild,55-59,1900-01-01 03:58:01,2022,238.01666666666668
2784,478,"Schaab, Ole (GER)",4483,FC Deutsche Post,40-44,1900-01-01 03:58:01,2022,238.01666666666668
2785,367,"Schlösser, Olaf (GER)",7410,–,50-54,1900-01-01 03:58:02,2022,238.03333333333333
2786,396,"Ludwig, Pascal (GER)",9294,Flowrunners,30-34,1900-01-01 03:58:04,2022,238.06666666666666
2787,447,"Igorman, Khalid (MAR)",11304,–,35-39,1900-01-01 03:58:04,2022,238.06666666666666
2788,368,"Benning, Patrick (GER)",10306,Team Erdinger Alkoholfrei,50-54,1900-01-01 03:58:06,2022,238.1
2789,226,"Ogan, Anton (GER)",4468,DAK/BSV HH,55-59,1900-01-01 03:58:07,2022,238.11666666666667
2790,351,"Snekvik, Jorgen (NOR)",7178,Runstøren Løpeklubb,<30,1900-01-01 03:58:07,2022,238.11666666666667
2791,397,"Kogias, Nikolaos (GRE)",9130,–,45-49,1900-01-01 03:58:09,2022,238.15
2792,479,"Reif, Arne (GER)",10506,–,40-44,1900-01-01 03:58:11,2022,238.18333333333334
2793,398,"Gades, Michael (GER)",5181,Vfl Vorhop,45-49,1900-01-01 03:58:12,2022,238.2
2794,397,"Schmidt, Laszlo (GER)",7071,Haspa,30-34,1900-01-01 03:58:12,2022,238.2
2795,352,"Lehmann, Nils (GER)",7436,–,<30,1900-01-01 03:58:15,2022,238.25
2796,353,"Guenther, Jack (USA)",11126,–,<30,1900-01-01 03:58:15,2022,238.25
2797,448,"Monti, Jesugo Isai (GER)",5479,–,35-39,1900-01-01 03:58:15,2022,238.25
2798,449,"Alder, Kevin (GER)",8340,–,35-39,1900-01-01 03:58:16,2022,238.26666666666668
2799,480,"Raab, Marco (GER)",12067,–,40-44,1900-01-01 03:58:18,2022,238.3
2800,481,"Dr. Monsees, Fabian (GER)",3299,–,40-44,1900-01-01 03:58:19,2022,238.31666666666666
2801,482,"Keller, Alexander (GER)",12194,–,40-44,1900-01-01 03:58:20,2022,238.33333333333334
2802,369,"Kirwan, Paul (IRL)",7516,–,50-54,1900-01-01 03:58:20,2022,238.33333333333334
2803,19,"Kuschill, Werner (GER)",6508,Team leistungsdiagnostik.de,65-69,1900-01-01 03:58:20,2022,238.33333333333334
2804,399,"Eckstein, Raik (GER)",13338,Team Scheck,45-49,1900-01-01 03:58:20,2022,238.33333333333334
2805,227,"Herken, Klaus-Joachim (GER)",7195,SLS Leinebagger,55-59,1900-01-01 03:58:21,2022,238.35
2806,398,"Kipke, Max (GER)",7317,–,30-34,1900-01-01 03:58:24,2022,238.4
2807,483,"Mudlaff, Remigiusz (GER)",11057,–,40-44,1900-01-01 03:58:25,2022,238.41666666666666
2808,484,"Von Drathen, Sönke (GER)",12113,–,40-44,1900-01-01 03:58:25,2022,238.41666666666666
2809,485,"Aßmann, Arne (GER)",10048,AWV09,40-44,1900-01-01 03:58:30,2022,238.5
2811,400,"Dr. Harms, Wolf (GER)",5027,Lungenpraxis Langenhagen,45-49,1900-01-01 03:58:31,2022,238.51666666666668
2812,399,"Obzejta, Daniel (USA)",7433,–,30-34,1900-01-01 03:58:31,2022,238.51666666666668
2813,486,"Richter, Sebastian (GER)",6031,–,40-44,1900-01-01 03:58:31,2022,238.51666666666668
2814,354,"Petersen, Jon (GER)",14157,–,<30,1900-01-01 03:58:31,2022,238.51666666666668
2815,370,"Dr. Schöner, Patrick (GER)",6454,Waldläufer Melle,50-54,1900-01-01 03:58:31,2022,238.51666666666668
2816,371,"Grünkemeier, Holger (GER)",7397,–,50-54,1900-01-01 03:58:32,2022,238.53333333333333
2817,228,"Dr. Fecke, Wolfgang (GER)",8485,–,55-59,1900-01-01 03:58:33,2022,238.55
2818,487,"Dorrer, Alexander (GER)",2261,SV Weiherhof,40-44,1900-01-01 03:58:33,2022,238.55
2819,400,"Sequeira, Daniel (GER)",11088,–,30-34,1900-01-01 03:58:33,2022,238.55
2820,229,"Thiessen, Patrick (GER)",9115,–,55-59,1900-01-01 03:58:33,2022,238.55
2821,355,"Peinemann, Sebastian (GER)",11263,–,<30,1900-01-01 03:58:34,2022,238.56666666666666
2822,488,"Hüttner, Johannes (GER)",12376,–,40-44,1900-01-01 03:58:36,2022,238.6
2823,230,"Dr. Kaufmann, Manfred (GER)",6199,–,55-59,1900-01-01 03:58:38,2022,238.63333333333333
2824,90,"Lubosch, Olaf (GER)",4226,–,60-64,1900-01-01 03:58:38,2022,238.63333333333333
2825,489,"Seifermann, Achim (GER)",6495,LAUFWELT.de Lauftreff,40-44,1900-01-01 03:58:39,2022,238.65
2826,372,"Saeger, Anselm (GER)",5077,Schwarzwälder Läuferherzen,50-54,1900-01-01 03:58:39,2022,238.65
2827,356,"Kraft, Leonard (GER)",9533,–,<30,1900-01-01 03:58:39,2022,238.65
2828,231,"Niebergall, Andreas (GER)",6125,Eckernförder MTV,55-59,1900-01-01 03:58:40,2022,238.66666666666666
2829,373,"Seiler, Steffen (GER)",13065,–,50-54,1900-01-01 03:58:40,2022,238.66666666666666
2830,91,"Mann, Klaus (GER)",13023,Billerbecker Läufer,60-64,1900-01-01 03:58:41,2022,238.68333333333334
2831,232,"Timmermann, Dirk (GER)",8269,Stadtpark-Runners Norderstedt,55-59,1900-01-01 03:58:41,2022,238.68333333333334
2832,401,"Timmer, Stephan (GER)",7375,–,45-49,1900-01-01 03:58:41,2022,238.68333333333334
2833,357,"Frege, Paul (GER)",7293,YNWA,<30,1900-01-01 03:58:41,2022,238.68333333333334
2834,358,"Bornholdt, Julius (GER)",7129,Lüneburg,<30,1900-01-01 03:58:42,2022,238.7
2835,402,"Stiller, Marcus (GER)",9061,Sportfreunde Stiller,45-49,1900-01-01 03:58:42,2022,238.7
2836,374,"Klasing, Jürgen (GER)",8299,TV Mesum,50-54,1900-01-01 03:58:43,2022,238.71666666666667
2837,490,"Schwiebert, Norman (GER)",7341,–,40-44,1900-01-01 03:58:45,2022,238.75
2838,375,"Stadel, Olaf (GER)",8271,SV Germania Breklum,50-54,1900-01-01 03:58:46,2022,238.76666666666668
2839,376,"Kiesewetter, Thomas (GER)",9025,Lauftreff Braunschweig,50-54,1900-01-01 03:58:47,2022,238.78333333333333
2840,377,"Joha, Thomas (GER)",3361,–,50-54,1900-01-01 03:58:48,2022,238.8
2841,359,"Schmidt, Felix (GER)",13080,–,<30,1900-01-01 03:58:48,2022,238.8
2842,403,"Diedrich, Martin (GER)",10217,Movement,45-49,1900-01-01 03:58:48,2022,238.8
2843,450,"Dreier, Martin (GER)",10126,Hatzter SV,35-39,1900-01-01 03:58:49,2022,238.81666666666666
2844,233,"Uldbjerg, Jesper (DEN)",7338,–,55-59,1900-01-01 03:58:50,2022,238.83333333333334
2845,360,"Uldbjerg, Jakob (DEN)",5378,–,<30,1900-01-01 03:58:50,2022,238.83333333333334
2846,451,"Schilling, Marcel (GER)",15115,–,35-39,1900-01-01 03:58:51,2022,238.85
2847,361,"Schäfer, Niklas (GER)",4333,–,<30,1900-01-01 03:58:52,2022,238.86666666666667
2848,378,"Wiesner, Juri (GER)",8106,–,50-54,1900-01-01 03:58:52,2022,238.86666666666667
2849,234,"Gebauer, Matthias (GER)",4458,BSG Hapag-Lloyd,55-59,1900-01-01 03:58:53,2022,238.88333333333333
2850,491,"Leuteritz, André (GER)",14173,Highlandteam Dresden,40-44,1900-01-01 03:58:53,2022,238.88333333333333
2851,235,"Ninow, Jürgen (GER)",5306,–,55-59,1900-01-01 03:58:54,2022,238.9
2852,362,"Schulte-Witten, Frederik (GER)",5244,–,<30,1900-01-01 03:58:55,2022,238.91666666666666
2853,452,"Wenzel, Matthias (GER)",6316,Team Erdinger Alkoholfrei,35-39,1900-01-01 03:58:55,2022,238.91666666666666
2854,404,"Jürgens, Christoph (GER)",12161,–,45-49,1900-01-01 03:58:56,2022,238.93333333333334
2855,379,"Ehlert, Volkert (GER)",10221,MTV Pattensen,50-54,1900-01-01 03:58:56,2022,238.93333333333334
2856,453,"Bastert, Torben (GER)",11083,–,35-39,1900-01-01 03:58:56,2022,238.93333333333334
2857,236,"Armstrong, Alan (GBR)",12188,–,55-59,1900-01-01 03:59:00,2022,239.0
2858,405,"Steinebach, Andre (GER)",4111,Endorphinjunkies Dortmund,45-49,1900-01-01 03:59:00,2022,239.0
2859,401,"Stitz, Lennart (GER)",11096,–,30-34,1900-01-01 03:59:01,2022,239.01666666666668
2860,492,"Damgaard, Ronnie (DEN)",11306,–,40-44,1900-01-01 03:59:02,2022,239.03333333333333
2861,380,"Scholz, Thomas (GER)",12359,TuS Wöbbel,50-54,1900-01-01 03:59:02,2022,239.03333333333333
2862,406,"Uhl, Jörg (GER)",8236,Lauftreff Rennschnecke Dudweiler,45-49,1900-01-01 03:59:02,2022,239.03333333333333
2863,381,"Braun, Martin (GER)",7123,LT Rennschnecke Dudweiler,50-54,1900-01-01 03:59:02,2022,239.03333333333333
2864,493,"Münch, Stefan (GER)",7098,Laufstil Running Club,40-44,1900-01-01 03:59:03,2022,239.05
2865,92,"Guldbrandt, Per (DEN)",4527,Kolding Motion,60-64,1900-01-01 03:59:03,2022,239.05
2866,494,"Dr. Kamo, Minobu (JPN)",7376,–,40-44,1900-01-01 03:59:05,2022,239.08333333333334
2867,407,"Borg, Oliver (GER)",9353,–,45-49,1900-01-01 03:59:06,2022,239.1
2868,382,"Brandner, Thomas (GER)",11075,–,50-54,1900-01-01 03:59:07,2022,239.11666666666667
2869,495,"Luck, Torsten (GER)",4255,Küstenkrieger,40-44,1900-01-01 03:59:08,2022,239.13333333333333
2870,237,"Pedersen, Brian (DEN)",8134,–,55-59,1900-01-01 03:59:08,2022,239.13333333333333
2871,238,"Dr. Michelsen, Poul (DEN)",4525,Kolding Motion,55-59,1900-01-01 03:59:09,2022,239.15
2872,239,"Dr. Risum, Hans (DEN)",8201,BeautyCenter Cosmetics,55-59,1900-01-01 03:59:10,2022,239.16666666666666
2873,496,"Vinke, Lars (GER)",9131,–,40-44,1900-01-01 03:59:11,2022,239.18333333333334
2874,383,"Ramsey, Mark (USA)",4002,VfL Wolfsburg,50-54,1900-01-01 03:59:12,2022,239.2
2875,384,"Beuer, Torsten (GER)",7258,TRIsports Genthin,50-54,1900-01-01 03:59:12,2022,239.2
2876,385,"Postels, Jan (GER)",9037,MTSV Selsingen e. V. / LAV Zeven,50-54,1900-01-01 03:59:15,2022,239.25
2877,386,"Putensen, Stephan (GER)",10362,TSV Sülldorf,50-54,1900-01-01 03:59:17,2022,239.28333333333333
2878,240,"Aaskov, Nils (DEN)",8254,OGF,55-59,1900-01-01 03:59:18,2022,239.3
2879,497,"Zeus, Heiko (GER)",11266,–,40-44,1900-01-01 03:59:18,2022,239.3
2880,93,"Kilian, Thomas (GER)",4436,ASG Tria Hockenheim,60-64,1900-01-01 03:59:19,2022,239.31666666666666
2881,363,"Niehuis, Martin (GER)",11020,–,<30,1900-01-01 03:59:20,2022,239.33333333333334
2882,498,"Oster, Konstantin (GER)",8029,–,40-44,1900-01-01 03:59:21,2022,239.35
2883,408,"Santoni, Egon (ITA)",11250,–,45-49,1900-01-01 03:59:21,2022,239.35
2884,499,"Stukenbrock, Philipp (GER)",15360,–,40-44,1900-01-01 03:59:21,2022,239.35
2885,454,"Wittmann, Michael (GER)",8494,–,35-39,1900-01-01 03:59:24,2022,239.4
2886,387,"Seifert, Andreas (GER)",7446,–,50-54,1900-01-01 03:59:25,2022,239.41666666666666
2887,20,"Hujber, Thomas (GER)",4367,TV Seulberg,65-69,1900-01-01 03:59:25,2022,239.41666666666666
2888,94,"Locher, Hans-Peter (GER)",10166,Lauftreff Ehingen,60-64,1900-01-01 03:59:25,2022,239.41666666666666
2889,241,"Santos, Ricky (USA)",5209,–,55-59,1900-01-01 03:59:25,2022,239.41666666666666
